[nltk_data] Downloading package stopwords to
[nltk_data]     /home/bme001/20225898/nltk_data...
[nltk_data]   Package stopwords is already up-to-date!
Some weights of the model checkpoint at bert-base-multilingual-uncased were not used when initializing BertModel: ['cls.seq_relationship.weight', 'cls.predictions.transform.dense.weight', 'cls.seq_relationship.bias', 'cls.predictions.bias', 'cls.predictions.transform.LayerNorm.weight', 'cls.predictions.decoder.weight', 'cls.predictions.transform.dense.bias', 'cls.predictions.transform.LayerNorm.bias']
- This IS expected if you are initializing BertModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing BertModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
[163]	validation_0-merror:0.00671	validation_0-mlogloss:0.08215	validation_1-merror:0.28385	validation_1-mlogloss:1.35453
[164]	validation_0-merror:0.00660	validation_0-mlogloss:0.08122	validation_1-merror:0.28372	validation_1-mlogloss:1.35339
[165]	validation_0-merror:0.00648	validation_0-mlogloss:0.08036	validation_1-merror:0.28319	validation_1-mlogloss:1.35266
[166]	validation_0-merror:0.00645	validation_0-mlogloss:0.07955	validation_1-merror:0.28293	validation_1-mlogloss:1.35205
[167]	validation_0-merror:0.00637	validation_0-mlogloss:0.07880	validation_1-merror:0.28270	validation_1-mlogloss:1.35142
[168]	validation_0-merror:0.00630	validation_0-mlogloss:0.07805	validation_1-merror:0.28257	validation_1-mlogloss:1.35092
[169]	validation_0-merror:0.00624	validation_0-mlogloss:0.07728	validation_1-merror:0.28228	validation_1-mlogloss:1.35016
[170]	validation_0-merror:0.00618	validation_0-mlogloss:0.07652	validation_1-merror:0.28211	validation_1-mlogloss:1.34960
[171]	validation_0-merror:0.00607	validation_0-mlogloss:0.07574	validation_1-merror:0.28146	validation_1-mlogloss:1.34854
[172]	validation_0-merror:0.00601	validation_0-mlogloss:0.07502	validation_1-merror:0.28133	validation_1-mlogloss:1.34778
[173]	validation_0-merror:0.00594	validation_0-mlogloss:0.07426	validation_1-merror:0.28140	validation_1-mlogloss:1.34717
[174]	validation_0-merror:0.00587	validation_0-mlogloss:0.07358	validation_1-merror:0.28126	validation_1-mlogloss:1.34639
[175]	validation_0-merror:0.00581	validation_0-mlogloss:0.07287	validation_1-merror:0.28120	validation_1-mlogloss:1.34577
[176]	validation_0-merror:0.00571	validation_0-mlogloss:0.07222	validation_1-merror:0.28094	validation_1-mlogloss:1.34526
[177]	validation_0-merror:0.00566	validation_0-mlogloss:0.07154	validation_1-merror:0.28055	validation_1-mlogloss:1.34468
[178]	validation_0-merror:0.00559	validation_0-mlogloss:0.07084	validation_1-merror:0.28061	validation_1-mlogloss:1.34404
[179]	validation_0-merror:0.00555	validation_0-mlogloss:0.07020	validation_1-merror:0.28058	validation_1-mlogloss:1.34351
[180]	validation_0-merror:0.00547	validation_0-mlogloss:0.06954	validation_1-merror:0.28025	validation_1-mlogloss:1.34285
[181]	validation_0-merror:0.00541	validation_0-mlogloss:0.06893	validation_1-merror:0.27986	validation_1-mlogloss:1.34224
[182]	validation_0-merror:0.00535	validation_0-mlogloss:0.06829	validation_1-merror:0.28015	validation_1-mlogloss:1.34161
[183]	validation_0-merror:0.00533	validation_0-mlogloss:0.06769	validation_1-merror:0.28009	validation_1-mlogloss:1.34109
[184]	validation_0-merror:0.00526	validation_0-mlogloss:0.06711	validation_1-merror:0.28015	validation_1-mlogloss:1.34049
[185]	validation_0-merror:0.00521	validation_0-mlogloss:0.06655	validation_1-merror:0.27976	validation_1-mlogloss:1.33991
[186]	validation_0-merror:0.00519	validation_0-mlogloss:0.06597	validation_1-merror:0.27989	validation_1-mlogloss:1.33935
[187]	validation_0-merror:0.00510	validation_0-mlogloss:0.06536	validation_1-merror:0.27943	validation_1-mlogloss:1.33882
