[nltk_data] Downloading package stopwords to
[nltk_data]     /home/bme001/20225898/nltk_data...
[nltk_data]   Package stopwords is already up-to-date!
Some weights of the model checkpoint at bert-base-multilingual-uncased were not used when initializing BertModel: ['cls.predictions.transform.dense.weight', 'cls.predictions.transform.LayerNorm.bias', 'cls.predictions.decoder.weight', 'cls.seq_relationship.weight', 'cls.seq_relationship.bias', 'cls.predictions.transform.LayerNorm.weight', 'cls.predictions.bias', 'cls.predictions.transform.dense.bias']
- This IS expected if you are initializing BertModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing BertModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
[164]	validation_0-merror:0.28842	validation_0-mlogloss:2.05813	validation_1-merror:0.43516	validation_1-mlogloss:2.66293
[165]	validation_0-merror:0.28743	validation_0-mlogloss:2.05331	validation_1-merror:0.43603	validation_1-mlogloss:2.66038
[166]	validation_0-merror:0.28715	validation_0-mlogloss:2.04847	validation_1-merror:0.43429	validation_1-mlogloss:2.65775
[167]	validation_0-merror:0.28545	validation_0-mlogloss:2.04368	validation_1-merror:0.43429	validation_1-mlogloss:2.65515
[168]	validation_0-merror:0.28503	validation_0-mlogloss:2.03890	validation_1-merror:0.43429	validation_1-mlogloss:2.65226
[169]	validation_0-merror:0.28446	validation_0-mlogloss:2.03424	validation_1-merror:0.43342	validation_1-mlogloss:2.65004
[170]	validation_0-merror:0.28432	validation_0-mlogloss:2.02967	validation_1-merror:0.43342	validation_1-mlogloss:2.64785
[171]	validation_0-merror:0.28404	validation_0-mlogloss:2.02506	validation_1-merror:0.43342	validation_1-mlogloss:2.64546
[172]	validation_0-merror:0.28404	validation_0-mlogloss:2.02059	validation_1-merror:0.43342	validation_1-mlogloss:2.64313
[173]	validation_0-merror:0.28333	validation_0-mlogloss:2.01608	validation_1-merror:0.43255	validation_1-mlogloss:2.64074
[174]	validation_0-merror:0.28277	validation_0-mlogloss:2.01160	validation_1-merror:0.43342	validation_1-mlogloss:2.63864
[175]	validation_0-merror:0.28192	validation_0-mlogloss:2.00723	validation_1-merror:0.43342	validation_1-mlogloss:2.63639
[176]	validation_0-merror:0.28192	validation_0-mlogloss:2.00282	validation_1-merror:0.43342	validation_1-mlogloss:2.63425
[177]	validation_0-merror:0.28178	validation_0-mlogloss:1.99842	validation_1-merror:0.43081	validation_1-mlogloss:2.63201
[178]	validation_0-merror:0.28164	validation_0-mlogloss:1.99424	validation_1-merror:0.43081	validation_1-mlogloss:2.62946
[179]	validation_0-merror:0.28107	validation_0-mlogloss:1.98996	validation_1-merror:0.43081	validation_1-mlogloss:2.62713
[180]	validation_0-merror:0.28065	validation_0-mlogloss:1.98592	validation_1-merror:0.43168	validation_1-mlogloss:2.62488
[181]	validation_0-merror:0.27994	validation_0-mlogloss:1.98185	validation_1-merror:0.43168	validation_1-mlogloss:2.62295
[182]	validation_0-merror:0.27839	validation_0-mlogloss:1.97770	validation_1-merror:0.43168	validation_1-mlogloss:2.62074
[183]	validation_0-merror:0.27811	validation_0-mlogloss:1.97367	validation_1-merror:0.43168	validation_1-mlogloss:2.61883
[184]	validation_0-merror:0.27740	validation_0-mlogloss:1.96976	validation_1-merror:0.43168	validation_1-mlogloss:2.61712
[185]	validation_0-merror:0.27627	validation_0-mlogloss:1.96583	validation_1-merror:0.43168	validation_1-mlogloss:2.61523
[186]	validation_0-merror:0.27599	validation_0-mlogloss:1.96191	validation_1-merror:0.43081	validation_1-mlogloss:2.61329
[187]	validation_0-merror:0.27556	validation_0-mlogloss:1.95808	validation_1-merror:0.43081	validation_1-mlogloss:2.61152
